Word,Transliteration,English_Translation
विचार,vicār,Idea
जिस,jis,That
बाहर,bāhar,Outside
ऊपर,ūpar,Above
बना,banā,Made up
तैयार,taiyār,Ready
अनेक,anek,many
सामने,sāmne,Front
शिक्षा,śikṣā,Education
शरीर,śarīr,Body
होकर,hokar,In
दृष्टि,dŕṣṭi,Vision
श्री,śrī,Mister
थीं,thī̃,Was
दूर,dūr,away
शब्द,śabd,Word
ध्यान,dhyān,Attention
चार,cār,Four
मेरी,merī,My
बड़ा,baṛā,Big
पता,patā,Address
लगता,lagtā,Festive
आगे,āge,Ahead
किया,kiyā,Did
उत्तर,uttar,Answer
किन्तु,kintu,But
आने,āne,Arrival
लगे,lage,Logged
लगभग,lagbhag,About
इसे,ise,This
लाख,lākh,Lakh
बारे,bāre,About
होना,honā,Happen
इससे,isse,From this
मात्रा,mātrā,amount
अध्ययन,adhyayan,Study
वाला,vālā,Wave
जिसमें,jismẽ,In which
नीचे,nīce,Below
अर्थ,arth,Meaning
लोक,lok,Folk
आवश्यक,āvaśyak,Necessary
हो,ho,yes
माँ,mā̃,Mother
छोटे,choṭe,Small
प्रतिशत,pratiśat,Percent
शुरू,śurū,Start
अगर,agar,If
इतना,itnā,This much
आया,āyā,Came
होगी,hogī,Will be
मिल,mil,Mill
स्वयं,svayã,Self
रात,rāt,Night
बिना,binā,Without
हमें,hamẽ,Us
उपयोग,upyog,Use
किए,kie,Done
महत्वपूर्ण,mahatvapūrṇ,Important
मुख्य,mukhya,main
साल,sāl,Year
ज्यादा,jyādā,More
साहित्य,sāhitya,Literature
पूर्व,pūrv,East
निर्माण,nirmāṇ,Construction
विषय,viṣay,Subject
जिससे,jisse,By which
देख,dekh,See
चित्र,citra,Picture
लगी,lagī,Lagged
प्रत्येक,pratyek,Everyone
मनुष्य,manuṣya,man
गई,gaī,Went
स्पष्ट,spaṣṭ,clear
दिनों,dinõ,Days
रंग,raṅg,Colour
इसकी,iskī,his
स्तर,star,level
मेरा,merā,My
दूसरी,dūsrī,Second
अच्छा,acchā,Good
रोग,rog,Disease
काल,kāl,period
अच्छी,acchī,Good
विज्ञान,vigyān,Science
भाई,bhāī,Brother
ज्ञान,gyān,Knowledge
दिल्ली,dillī,Delhi
बनाने,banāne,Make
रुपये,rupye,Rupees
रखा,rakhā,kept
आवश्यकता,āvaśyaktā,Need
आता,ātā,Comes
कौन,kaun,Who
हों,hõ,Ho
आर्थिक,ārthik,Economic
सहायता,sahāytā,Help
अतिरिक्त,atirikt,Excessive
देर,der,Late
तरफ,taraph,Side
लेने,lene,Take
चला,calā,walked
सामाजिक,sāmājik,Social
समझ,samajh,Understanding
मगर,magar,But
आते,āte,Come
बच्चे,bacce,Children
कला,kalā,Art
पत्र,patra,Letter
भीतर,bhītar,Inner
संस्कृति,sanskŕti,Culture
उनमें,unmẽ,In those
वर्ग,varg,Social class
विभाग,vibhāg,Department
चाहता,cāhtā,Want
सिर,sir,Head
बताया,batāyā,told
जगह,jagah,Place
वही,vahī,Same
इतनी,itnī,So much
स्थापित,sthāpit,Established
राष्ट्रीय,rāṣṭrīya,National
स्वर,svar,Vocal
क्षेत्रों,kṣetrõ,Areas
जिसके,jiske,Whose
जन्म,janma,Birth
जाए,jāe,Go
दौरान,daurān,during
गांधी,gāndhī,Gandhi
हाँ,hā̃,Yes
जनता,jantā,public
किस,kis,What
केन्द्र,kendra,Center
साहब,sāhab,Sir
पूर्ण,pūrṇ,full
पुलिस,pulis,Police
बोला,bolā,spoke
थईआ,thaīā,Thiaia
कमी,kamī,Shortage
समस्या,samasyā,Problem
कार्यक्रम,kāryakram,Program
विवाह,vivāh,Marriage
भूमि,bhūmi,land
भाव,bhāv,expressions
देखकर,dekhkar,after seeing
करोड़,karoṛ,Ten million
प्रथम,pratham,First
मूल,mūl,Original
परिवर्तन,parivartan,Change
बच्चों,baccõ,Children
लाभ,lābh,Benefit
प्रदान,pradān,Grant
आये,āye,Come
छोटी,choṭī,Small
स्त्री,strī,Woman
सेवा,sevā,Service
व्यवहार,vyavhār,Behaviour
राम,rām,Ram
रचना,racnā,Composition
की,kī,of
भिन्न,bhinna,Different
मिट्टी,miṭṭī,Soil
देशों,deśõ,Countries
इनके,inke,Their
आती,ātī,Come
सही,sahī,Correct
उपलब्ध,uplabdh,Available
बल्कि,balki,Rather
प्राय,prāy,At the time
बिजली,bijlī,Electricity
लेते,lete,Take
जान,jān,Life
बढ़,baṛh,Enhancement
सारे,sāre,all
शायद,śāyad,Perhaps
सरकारी,sarkārī,Government
पड़,paṛ,Fall
चुका,cukā,Repayed
पड़ा,paṛā,Lying
विधि,vidhi,Method
छोड़,choṛ,leave
लिखा,likhā,wrote
जबकि,jabki,Whereas
सिर्फ,sirph,Only
दर्शन,darśan,Visit
प्रक्रिया,prakriyā,Process
दिखाई,dikhāī,Visible
कुल,kul,Total
शब्दों,śabdõ,Words
लाल,lāl,Red
निकल,nikal,Out
नये,naye,New
रखने,rakhne,Keep
पंजाब,pañjāb,Punjab
नदी,nadī,River
गए,gae,Went
मृत्यु,mŕtyu,Death
स्वीकार,svīkār,Accept
अन्तरिक्ष,antarikṣ,Space
आकर,ākar,Size
याद,yād,Memory
उठा,uṭhā,picking
दूध,dūdh,Milk
कांग्रेस,kāṅgres,Congress
सारी,sārī,all
माध्यम,mādhyam,Channel
दूसरा,dūsrā,Second
संबंध,sambandh,relationship
जिन,jin,Gin
चाहे,cāhe,whether
चाहते,cāhte,Want
प्रणाली,praṇālī,System
तभी,tabhī,Only
होंगे,hoṅge,Will be
इनमें,inmẽ,In
सन,san,Sun
मान,mān,Value
पुत्र,putra,Son
उद्देश्य,uddeśya,Objective
विश्वास,viśvās,faith
पिछले,pichle,last
ताकि,tāki,So that
निश्चित,niścit,Fixed
जिसका,jiskā,Whose
जानकारी,jānkārī,Information
नेता,netā,Leader
बालक,bālak,Boy
अन्त,ant,End
उचित,ucit,Appropriate
संगीत,saṅgīt,music
जल्दी,jaldī,Quick
क्षमता,kṣamtā,Capacity
हजार,hajār,Thousand
जाएगा,jāegā,Will go
बनाया,banāyā,Make
पति,pati,Husband
कोशिश,kośiś,Effort
चुके,cuke,Sailed
खाने,khāne,Eating
फसल,phasal,Crop
प्रकृति,prakŕti,Nature
पौधों,paudhõ,Plants
प्रकट,prakaṭ,Revealed
पक्ष,pakṣ,Party
नीति,nīti,Policy
यद्यपि,yadyapi,Although
मात्र,mātra,Only
भारी,bhārī,Heavy
पुस्तकालय,pustakālay,Library
चले,cale,Let's go
समिति,samiti,Committee
सामग्री,sāmagrī,Material
चाहिये,cāhiye,Want
अन्तर्गत,antargat,Under
माल,māl,Goods
शामिल,śāmil,Involved
बोली,bolī,Languages
उनसे,unse,With them
अपेक्षा,apekṣā,Expectation
हेतु,hetu,For
नगर,nagar,City
दिये,diye,Lamp
सम्बन्धी,sambandhī,Related
पुस्तक,pustak,Book
खुद,khud,Self
वर्णन,varṇan,Description
बने,bane,Made up
जोर,jor,Loser
करें,karẽ,Do
जिनमें,jinmẽ,In which
लक्षण,lakṣaṇ,symptoms
नामक,nāmak,Nominated
वहीं,vahī̃,There itself
तुम्हारे,tumhāre,Your
विश्व,viśva,World
शासन,śāsan,Government
वैसे,vaise,By the way
युग,yug,Era
बैठ,baiṭh,Seated
स्थापना,sthāpnā,Establishment
अर्थात,arthāt,In other words
सारा,sārā,All
लेता,letā,Take
लगती,lagtī,Looks like
शैली,śailī,Style
लें,lẽ,Take
पार्टी,pārṭī,Party
गीत,gīt,Song
अवसर,avsar,opportunity
युद्ध,yuddh,war
मालूम,mālūm,Known
चारों,cārõ,All four
प्रकाश,prakāś,Light
जायेगा,jāyegā,will go
बैठे,baiṭhe,Seated
तुम्हें,tumhẽ,You
समाप्त,samāpt,End
जाय,jāy,Go
साफ,sāph,Clean
धार्मिक,dhārmik,Religious
ताप,tāp,Heat
उल्लेख,ullekh,Mention
वर्तमान,vartamān,present
लेना,lenā,Take
थोड़ी,thoṛī,Slightly
इनका,inkā,Their
विकसित,viksit,advanced
बन्द,band,Off
प्रसिद्ध,prasiddh,Famous
विशिष्ट,viśiṣṭ,Specific
प्रेम,prem,Love
चली,calī,Sustainable
रखते,rakhte,Keep
भावना,bhāvnā,Emotion
चलता,caltā,On
सिद्ध,siddh,Proven
वालों,vālõ,People
चित्रों,citrõ,Paintings
पुरुष,puruṣ,Male
पदार्थ,padārth,Substance
चर्चा,carcā,Discussion
खाना,khānā,Eat
उच्च,ucc,High
इतने,itne,So much
दी,dī,Gave
दिए,die,Given
सीमा,sīmā,Limit
वस्तु,vastu,object
पड़ी,paṛī,Lying
गति,gati,motion
अत्यन्त,atyant,Extremely
संगठन,saṅgṭhan,Organization
कितना,kitnā,How much
इस्तेमाल,istemāl,Use
बाबा,bābā,Dad
प्रकाशित,prakāśit,Published
ढंग,ḍhaṅg,behaviour
अधिकार,adhikār,rights
उधर,udhar,There
पड़े,paṛe,Lying
सके,sake,Sustain
सूचना,sūcnā,Information
अंग्रेजी,aṅgrejī,English
सुन्दर,sundar,Beautiful
पुनः,punaḥ,Again
केंद्रीय,kendrīya,Central
आधुनिक,ādhunik,Modern
शहर,śahar,City 
प्रधानमंत्री,pradhānmantrī,Prime Minister
ब्राह्मण,brāhmaṇ,Brahmin
उनको,unko,For them
महीने,mahīne,Month
अच्छे,acche,Good
हवा,havā,Air
शाम,śām,Evening
इधर,idhar,here
संसार,sansār,World
विरोध,virodh,Oppose
रखना,rakhnā,Keep
प्रशिक्षण,praśikṣaṇ,Training
संघ,saṅgh,union
बनी,banī,Bunny
पृथ्वी,pŕthvī,Earth
ऊर्जा,ūrjā,energy
हमने,hamne,We
वास्तविक,vāstavik,Real
सहयोग,sahyog,Collaboration
तेल,tel,Oil
अवधि,avdhi,Duration
सात,sāt,Seven
लगते,lagte,Felt
मार्ग,mārg,route
बंद,band,Close
प्रचलित,praclit,prevalent
संघर्ष,saṅgharṣ,Conflict
दिशा,diśā,Direction
स्थित,sthit,Located
बैठा,baiṭhā,sat
वर्षों,varṣõ,Years
अधिकांश,adhikānś,majority of
शादी,śādī,Marriage
वातावरण,vātāvraṇ,environment
तुलना,tulnā,Compare
राजीव,rājīv,Rajeev
साधारण,sādhāraṇ,ordinary
सम्पूर्ण,sampūrṇ,total
राजस्थान,rājasthān,Rajasthan
सफल,saphal,Success
कितने,kitne,How many?
वापस,vāpas,Back
मानसिक,mānsik,Mental
परम्परा,paramparā,Tradition
बोले,bole,Speak
बीज,bīj,Seed
खेल,khel,game
अंग,aṅg,Organ
बैठक,baiṭhak,meeting
जरूरत,jarūrat,Need
ग्रामीण,grāmīṇ,Rural
इनकी,inkī,Their
कथा,kathā,Story
आयु,āyu,age
बातचीत,bātcīt,Conversation
प्रभावित,prabhāvit,Affected
निर्धारित,nirdhārit,Determined
निकाल,nikāl,Out
घटना,ghaṭnā,Event
कितनी,kitnī,How many
कवि,kavi,Poet
रक्त,rakt,blood
बालकों,bālkõ,Boys
किसान,kisān,Farmer
इच्छा,icchā,Desire
आयी,āyī,Come
बजे,baje,time
चेहरे,cehre,Face
गुण,guṇ,Property
आकार,ākār,size
हृदय,hŕday,Heart
राज,rāj,Rule
मार,mār,Kill
चुकी,cukī,Tailor
यात्रा,yātrā,Travel
नष्ट,naṣṭ,Destroyed
खेती,khetī,Farming
सुबह,subah,Morning
नयी,nayī,New
जिन्हें,jinhẽ,Whom
आरम्भ,ārambh,Launch
सुनकर,sunkar,Hearing
वायु,vāyu,Air
नजर,najar,vision
थोड़ा,thoṛā,Little
खाली,khālī,Empty
ॐ,om,ॐ
खोज,khoj,Search
एकदम,ekdam,At once
व्यक्तियों,vyaktiyõ,Individuals
राजनीतिक,rājnītik,Political
आँखें,ā̃khẽ,eyes
संबंधित,sambandhit,Connected
तेज,tej,Quick
जरा,jarā,just
व्यक्तित्व,vyaktitva,Persona
बदल,badal,change
सवाल,savāl,Question
उपभोक्ता,upbhoktā,Consumer
उपज,upaj,Yield
सुख,sukh,Happiness
मानते,mānte,Believe
मकान,makān,House
तेजी,tejī,Rapid
जुलाई,julāī,july
प्रयत्न,prayatna,try
देवता,devtā,God
जानते,jānte,Know
कपड़े,kapṛe,Clothes
संभव,sambhav,possible
सकता,saktā,Can
मदद,madad,Help
वास्तव,vāstav,really
निकट,nikaṭ,Close
चलते,calte,Go
बाकी,bākī,Balance
सोच,soc,Thinking
समस्त,samast,All
सदस्य,sadasya,Member
कठिन,kaṭhin,Difficult
अरे,are,Oho
राज्यों,rājyõ,States
नया,nayā,New
सीधे,sīdhe,Straight
फूल,phūl,Flower
किस्म,kisma,Variety
अभाव,abhāv,Lack
जरूरी,jarūrī,Necessary
सेना,senā,Army
श्रम,śram,Labor
विदेशी,videśī,Foreigner
बाल,bāl,Hair
पुराने,purāne,Old
किंतु,kintu,But
विस्तार,vistār,Expansion
जाएगी,jāegī,Will go
छोटा,choṭā,Small
वनस्पति,vanaspati,Vegetable
खर्च,kharc,Expenditure
पार,pār,Cross
अधिकारी,adhikārī,Officer
चलने,calne,Walking
आशा,āśā,Hope
सुधार,sudhār,Improvement
विशाल,viśāl,Huge
पूर्ति,pūrti,Supply
डाल,ḍāl,Branch
जानता,jāntā,knows
महसूस,mahsūs,Feel
बोल,bol,Lyrics
प्रतीत,pratīt,Appear
अध्यक्ष,adhyakṣ,chairman
सीखने,sīkhne,Learn
वर्ण,varṇ,Character
व्यापक,vyāpak,Comprehensive
भविष्य,bhaviṣya,Future
ध्वनि,dhvani,Sound
प्रयुक्त,prayukt,Used
प्रचार,pracār,Publicity
प्यार,pyār,Love
शिक्षण,śikṣaṇ,Teaching
शेष,śeṣ,Remanent
मार्च,mārc,march
दुनिया,duniyā,World
ख्याल,khyāl,Care
प्रगति,pragti,Progress
गैस,gais,Gas
लगातार,lagātār,Continuous
तौर,taur,Form
उन्हीं,unhī̃,They
सुरक्षित,surakṣit,Safe
सभा,sabhā,gathering
लौट,lauṭ,Back
लागत,lāgat,Cost
बनाये,banāye,Made
दर्द,dard,Pain
आखिर,ākhir,Finally
सोचा,socā,thought
दें,dẽ,Give
चीज,cīj,Thing
कल्पना,kalpanā,Imagination
लक्ष्य,lakṣya,Target
चाय,cāy,Tea
खूब,khūb,Plenty
श्रीमती,śrīmtī,Mrs
लाने,lāne,Bring
मुक्त,mukt,Free
बुद्धि,buddhi,Intelligence
पश्चिम,paścim,West
खेत,khet,Farm
होनी,honī,Having
चाहती,cāhtī,Want
उपयुक्त,upyukt,Suitable
अंत,ant,Ending
साधन,sādhan,Resource
संकेत,saṅket,Signal
वस्तुओं,vastuõ,Objects
मामले,māmle,Case
बनाकर,banākar,By making
सहज,sahaj,Simple
सदा,sadā,Always
शारीरिक,śārīrik,physical
पकड़,pakaṛ,grasp
उपाय,upāy,remedy
संस्थान,sansthān,Institute
सफलता,saphaltā,Success
बाबू,bābū,Baboo
तुम्हारी,tumhārī,yours
भूल,bhūl,Mistake
आत्मा,ātmā,Soul
विचारों,vicārõ,Ideas
रखी,rakhī,Laid
भूमिका,bhūmikā,Role
पैर,pair,Feet
करे,kare,Do
हाथों,hāthõ,Hand
भवन,bhavan,Building
नियम,niyam,Rule
दिल,dil,Heart
तकनीकी,taknīkī,technology
जिसकी,jiskī,Whose
शिशु,śiśu,Infant
व्यय,vyay,Expense
पेट,peṭ,stomach
नींद,nīnd,Sleep
नेताओं,netāõ,Leaders
अंदर,andar,Inside
लागू,lāgū,Applicable
बनने,banne,Form
त्वचा,tvacā,skin
गायन,gāyan,Singing
राजनीति,rājnīti,Politics
जमा,jamā,Deposit
सुविधा,suvidhā,Facility
बोर्ड,borḍ,Board
कानून,kānūn,Law
शुरु,śuru,Start
लेखक,lekhak,Author
बावजूद,bāvjūd,Despite
क्रम,kram,Order
लगने,lagne,Settling
तुमने,tumne,you have
हाल,hāl,Condition
सम्भव,sambhav,Probable
स्टेशन,sṭeśan,station
अगले,agle,Next
रास्ते,rāste,Gesture
मस्तिष्क,mastiṣk,Brain
गर्म,garm,warm
संबंधी,sambandhī,relative
यानी,yānī,i.e
पुरानी,purānī,Old
चित्रण,citraṇ,Illustration
अधिकारियों,adhikāriyõ,Officers
संस्कृत,sanskŕt,Sanskrit
सुन,sun,Listen
युवक,yuvak,young boy
पाठ,pāṭh,"Lesson, "
स्थानों,sthānõ,Places
वर्षा,varṣā,Rain
रखकर,rakhkar,By keeping
पशु,paśu,Animal
किसानों,kisānõ,Farmers
सत्ता,sattā,Power
प्राप्ति,prāpti,Receipt
दवा,davā,Medicine
खास,khās,Special
कमेटी,kameṭī,Committee
अंक,aṅk,score
हानि,hāni,Loss
सरल,saral,Easy
सिंचाई,siñcāī,Irrigation
शिकार,śikār,Hunt
वृक्ष,vŕkṣ,Tree
करेंगे,kareṅge,do
औद्योगिक,audyogik,Industrial
आधारित,ādhārit,based
हत्या,hatyā,the killing
सहकारी,sahkārī,Co -operative
विवरण,vivraṇ,Description
रोज,roj,Daily
मुझसे,mujhse,Me
आना,ānā,come
मौसम,mausam,Season
आँखों,ā̃khõ,Eyes
शुद्ध,śuddh,Pure
भेद,bhed,distinction
विपरीत,viprīt,Adverse
लम्बी,lambī,Long
बनाना,banānā,Make
दृष्टिकोण,dŕṣṭikoṇ,Approach
गलत,galat,Wrong
समर्थन,samarthan,Support
सम्मेलन,sammelan,conference
सचमुच,sacmuc,Really
बुद्ध,buddh,Buddha
बच्चा,baccā,Child
दीवार,dīvār,Wall
आंखों,ā̃khõ,Eyes
अध्याय,adhyāy,Chapter
अत्यधिक,atyadhik,Excessive
सहित,sahit,Including
योग,yog,sum
मुख,mukh,Face
बिहार,bihār,Bihar
काव्य,kāvya,Poetry
सिद्धांत,siddhānt,Principle
सार्वजनिक,sārvajnik,Public
लघु,laghu,Small
बता,batā,Tell
परस्पर,paraspar,mutual
तार,tār,Wire
चूर्ण,cūrṇ,Powder
आयोजन,āyojan,events
सांस्कृतिक,sānskŕtik,Cultural
समझने,samajhne,To understand
वाद्य,vādya,Instrument
प्रतीक,pratīk,Sign 
तुम्हारा,tumhārā,yours
छात्र,chātra,Student
चुप,cup,Silent
अक्सर,aksar,Often
जायेगी,jāyegī,Will go
रखे,rakhe,Keep
भार,bhār,Burden
फलों,phalõ,Fruit
जीवित,jīvit,alive
आजकल,ājkal,Nowadays
विस्तृत,vistŕt,Detailed
गिर,gir,Gir
गुरू,gurū,Guru
खाद्य,khādya,Food
उतर,utar,North
अमेरिका,amerikā,America
सुना,sunā,heard
स्थानीय,sthānīya,local
विषयों,viṣyõ,Subjects
घंटे,ghaṇṭe,hours
कराने,karāne,Conduct
उतना,utnā,As much as
शताब्दी,śatābdī,Century
व्यवसाय,vyavsāy,Business
मंदिर,mandir,Temple
परिचय,paricay,Introduction
गांवों,gāmvõ,Villages
बाँध,bāndh,dam
निश्चय,niścay,Determination
उपकरण,upakraṇ,equipment
आतंकवादियों,ātaṅkvādiyõ,Militant
वैदिक,vaidik,Vedic
भागों,bhāgõ,Parts
अंश,anś,Part
सूत्र,sūtra,Formula
विविध,vividh,various
बारह,bārah,Twelve
फलस्वरूप,phalasvarūp,Consequently
काट,kāṭ,cutting
अधिकतर,adhiktar,mostly
स्वाभाविक,svābhāvik,Natural
वाक्य,vākya,Sentence
बैठी,baiṭhī,Sitting
परिस्थितियों,paristhitiyõ,Circumstances
सूर्य,sūrya,Sun
शत्रु,śatru,enemy
पत्तियों,pattiyõ,Leaves
नियोजन,niyojan,Planning
ग्रन्थ,granth,Book
कही,kahī,Somewhere
उम्र,umra,Age
अग्नि,agni,Fire
सिख,sikh,Sikh
बाप,bāp,Father
पाकिस्तान,pākistān,Pakistan
पश्चात्,paścāt,Back
चिन्ता,cintā,Fanciful
आयोजित,āyojit,Held
यहीं,yahī̃,Right here
वाद्यों,vādyõ,Instruments
मुसलमान,musalmān,Muslim
भेज,bhej,Sending
बैंक,baiṅk,Bank
नारी,nārī,Woman
अंतिम,antim,Last
समुद्र,samudra,Sea
संग्रह,saṅgrah,Collection
लेती,letī,Take
दृश्य,dŕśya,Scene
खाद,khād,Fertilizer
आलोचना,ālocnā,Criticism
हैक्टर,haikṭar,Hectare
विरोधी,virodhī,anti
पश्चिमी,paścimī,Western
धान,dhān,Rice 
डाक,ḍāk,Post
कदम,kadam,step
आकाश,ākāś,Sky
स्थायी,sthāyī,Permanent
वितरण,vitraṇ,Distribution
वंश,vanś,Linage
रोक,rok,Stoppage
प्रेरणा,prerṇā,Inspiration
चीनी,cīnī,Sugar
औरत,aurat,women
अप्रैल,aprail,april
अनिवार्य,anivārya,Mandatory
सकें,sakẽ,Can
महिला,mahilā,Woman
पहचान,pahcān,Identification
क्रमशः,kramśaḥ,Respectively
सैनिक,sainik,Soldier
वजह,vajah,Reason
लकड़ी,lakṛī,Wood
रुपये,rupye,Rupees
बढ़ा,baṛhā,Raised
पीठ,pīṭh,Back
पाई,pāī,Pie
डाक्टर,ḍākṭar,Doctor
सम्पर्क,sampark,Contact
वीं,vī̃,Genuine
माननीय,mānnīya,Honorable
मूल्यांकन,mūlyāṅkan,Evaluation
गाय,gāy,Cow
क्षण,kṣaṇ,Moment
हालत,hālat,Condition
संदर्भ,sandarbh,Reference
बीस,bīs,Twenty
दोष,doṣ,Shortcoming
जीव,jīv,creatures
चित्रित,citrit,Painted
खान,khān,Mine
खुशी,khuśī,Happiness
रोजगार,rojgār,employment
रिपोर्ट,riporṭ,Report
मंत्रालय,mantrālay,Ministry
प्राथमिक,prāthmik,primary
प्रदर्शित,pradarśit,Displayed
धारणा,dhārṇā,perception
ताल,tāl,rythm
जंगल,jaṅgal,Forest
सका,sakā,could
यान,yān,Vault
उपक्रम,upakram,Enterprise
अंकित,aṅkit,Ankit
शिव,śiv,Shiva
त्याग,tyāg,Sacrifice
जिसने,jisne,Whosoever
गरम,garam,Hot
समाचार,samācār,news
शाखा,śākhā,branch
बुरी,burī,Bad
डाला,ḍālā,Pouring
जून,jūn,june
ज्ञात,gyāt,Known
गर्भ,garbh,Pregnancy
कर्मचारियों,karmacāriyõ,Employees
मामलों,māmlõ,Matters
बजाय,bajāy,instead
तरीके,tarīke,Manner
आदर्श,ādarś,Ideal
हिस्सा,hissā,Part
संरचना,sãracnā,structure
स्पर्श,sparś,Touch
जनवरी,janavrī,January
चित्रकला,citraklā,drawing
चरित्र,caritra,Character
क्षेत्रीय,kṣetrīya,Regional
क्यू,kyū,Why
रखता,rakhtā,Keeps
बिक्री,bikrī,Sales
पुस्तकों,pustakõ,Books
निर्मित,nirmit,made
जैन,jain,Jain
गले,gale,Throat
ग्रा,grā,Gram
खराब,kharāb,Bad
करो,karo,do it
कक्षा,kakṣā,Class
आश्चर्य,āścarya,Wonder
रास्ता,rāstā,way
युक्त,yukt,Rich
बनाए,banāe,Make
बेटा,beṭā,Son
बेटे,beṭe,Son
प्रबन्ध,prabandh,Managing
निम्नलिखित,nimnalikhit,Following
चेहरा,cehrā,face
अर्जुन,arjun,Arjuna
सम्मान,sammān,Respect
यथार्थ,yathārth,Reality
बहू,bahū,Daughter in law
ध्वनियों,dhvaniyõ,Sounds
जिन्होंने,jinhonne,Who
छाया,chāyā,Shadow
खबर,khabar,News
संकट,saṅkaṭ,crisis
बेटी,beṭī,Daughter
पशुओं,paśuõ,Animals
अति,ati,Extreme
समझता,samajhtā,Understand
रोकने,rokne,Stop
भक्ति,bhakti,Devotion
दशा,daśā,Condition
चलती,caltī,On the moving
घास,ghās,Grass
कथन,kathan,statement
सामान,sāmān,stuff
मजदूरी,majdūrī,Labour
भरी,bharī,Stuffed
बिलकुल,bilkul,Absolutely
दूसरों,dūsrõ,Others
गरीब,garīb,Poor
अस्तित्व,astitva,Existence
अकेले,akele,Lonely
सौन्दर्य,saundarya,Beauty
साहसी,sāhsī,Daring
समझते,samajhte,Understand
विद्युत,vidyut,Electricity
लिखी,likhī,Written
नाटक,nāṭak,Drama
धूप,dhūp,Sunlight
दरवाजे,darvāje,Doors
कमजोर,kamjor,Weak
आदत,ādat,Habit
सम्प्रदाय,sampradāy,Sect
शोध,śodh,Research
वीर,vīr,Daring
रुपया,rupyā,Rupee
मौत,maut,Death
भले,bhale,Good
प्रसन्न,prasanna,Happy
निजी,nijī,Personal
जातियों,jātiyõ,Castes
गीतों,gītõ,Songs
कीट,kīṭ,Insect
उतनी,utnī,So much
अभ्यास,abhyās,Practice
रंगों,raṅgõ,Colors
मान्यता,mānyatā,Recognition
मजबूत,majbūt,Strong
भीड़,bhīṛ,Crowd
नियमों,niymõ,Regulations
उठता,uṭhtā,Arms
आनन्द,ānand,Joy
विष,viṣ,Poison
प्र,pra,Soul
तमाम,tamām,All
चिन्ह,cinha,Sign
स्थिर,sthir,steady
शराब,śarāb,Liquor
वैज्ञानिकों,vaigyānikõ,Scientists
पहुंचा,pahuñcā,reached up
नियमित,niymit,Regular
नवीन,navīn,New
गहरी,gahrī,Deep
ऊष्मा,ūṣmā,Heat
उत्तम,uttam,Excellent
शास्त्र,śāstra,ethology
माह,māh,Month
मालिक,mālik,Owner
भला,bhalā,Good
भरे,bhare,Stuffed
बनाई,banāī,Made up
